moniker,account,signedBlocks,signedBlocksPartOfTotal
vad1mb,evmos1vd79nylc8lmsk5cr35ue6vj77uam4fg985e473,59381,0.0752900991
jiksaja,evmos14klw8yztpph9he8magmwxjx8vaxwaywfc3nnkj,398489,0.5052504386
Nodeist,evmos10897kuz4pgwqxm48ev3p07m0smz3rnqec4p807,192984,0.2446874334
randi,evmos1qxd909mnlq4ew4c9q2pxzvj5pvtj490w3aef0h,583657,0.7400278434
validatorkey,evmos1sv3q69rmepza96ycvup3ugtun2dxcd4y8ucf3v,1666,0.0021123474
Chokee,evmos1mc8wnul4llsr44v68s3k89tv6cfcn86mvst30k,2299,0.002914938
ebnu,evmos1s08xjwe8h5rdmw56p68xx93mpq5gqur4utrxg9,537678,0.6817303498
0xde12eth,evmos1k7md68e32e54yn0ushrygc9utkq42g6q6rnug4,13448,0.0170509296
vinjan,evmos13k0tz5m6x7rewjdc7j0ggcj74axsdjx665mkfx,517325,0.6559244626
lintang23,evmos1dzp4tv5tyev9e6seu309pru6xlfju7ce247d58,182262,0.2310928418
Aceng,evmos1avqhnjz8dqppu7edgzkptyhy9vf8vc2j7540wg,4373,0.0055445951
meowment,evmos14xtgjlq4t8rem9a6rl8wa3lj62cms0nlwu5xzy,310466,0.3936446996
hendrazlk,evmos1svsnepnc2thgvrxgyrxt5ekhuj3py2u62j6x83,544001,0.6897473804
Amo1020,evmos18ammdml38qsj8yhhccze6g60yvfjj3a0n34q7t,109514,0.1388545142
<myvalidator>,evmos1m5s9pf97jk3z4yck43fhqephskxzfhq00d2exm,15340,0.019449826
DOUBLELIFT,evmos18gxrmlkudhp3eg4yffqve7kprga5axzpaw0fz3,314507,0.3987683467
franco,evmos1swdjladrmc6w7kmutfm6au25acscnnnr4cvg57,196116,0.2486585452
monokorobo,evmos1z3qeccf22wtkgzlsgnv6m8gruwawy2k3gpd89p,333634,0.4230197693
yosapat,evmos1r5fnta05ghh6kjmq7vtcjy72avg60cr9snc9py,311422,0.3948568269
guraa,evmos1az2vdk36upx3r692fymjcefzqaxe802yyjt9ck,9,0.0000114112
johnpaulNODES,evmos1925m8f8catdrysj6cmf46f3xc90swuk4nzy7tg,235454,0.298535811
Knight,evmos1gc8czdq6ef964v72a3mjl55fz3560dr44gyq3r,372728,0.4725876636
validatorkey,evmos157zfjh6yn5lp0ewazmg5p64z7atsepzs85n4r2,221903,0.281354286
Heisenberg,evmos1mu5zu0rg0nhmys27n4zs8agu0wesxjdz09a9zy,277566,0.3519302747
assesddef,evmos19umapf6z0n28g6sttuc6saddt30fw6mcy9a8es,22861,0.0289858196
validatorkey,evmos12ekqh5ewrk4pz43yy2x5g8jkx8cyls9m32v8ml,43344,0.0549565358
RinshimattaNODE,evmos1xsptmerjanu30wlmjp04xma04v3fqvdnt863qv,544591,0.6904954507
prampoint,evmos1c9slgjjkpsfkhc7um6dwgyjww35k80r46sxp6r,7052,0.0089413411
lulzechnode,evmos1ujg3trqk83hd24ku5fwjk9c49hlk032l6pw6yy,82826,0.1050163814
Bang_Pateng,evmos1j3cj7tg3talk6dah5glsnnl7df096n66hch2sk,489046,0.620069076
namejay,evmos1g8plyqlq8hqjh0rxza77tdpa87ntzg2xkz5n4u,662,0.0008393601
Hankhoir,evmos1lxa675ufwqer2cf426cm62earkl8w9zje6m8ts,467475,0.5927188675
TheWinter,evmos1rzmcfmfgaaet2fvam97rhswak6cnce7m8uj5r8,211410,0.2680500471
Ramona,evmos180h7f96qs6l5ma5gy4gqmqe5nw5lmwykx9r3aj,451745,0.5727745544
point-xnet-triton,evmos1q5epklz4azh3sf6jywsd86x25rxldg0ptrn2n5,533367,0.6762643654
validatorkey,evmos1g23zt90wpvmhfee2za6k908c8djhfr0mn4sdyc,60472,0.076673395
dhozil,evmos1rxfkken8vlm73jegpfd75kvjp34acd3s0gp7x6,88785,0.1125718908
Dokebi,evmos164w0upu2kjf38mtp5wmh66hf57y7lsufkpt4xk,348831,0.4422882834
herznode,evmos15d73ye50nwk8v8yxyjugtp8sktnss4063m4apw,254494,0.3226769249
validatorkey,evmos1dmyx67wmsx65q6wrkmt99pplpdys2e4mx9vtpp,11088,0.0140586487
Dhuty,evmos1n08jykym5vd9vqq8wamf2v7cqzxsehwugcsh8m,260203,0.3299154553
“UPasian”,evmos1p78r9zgaesr9r8k7cu6jy6fx0akjkj8wc4r8c8,81330,0.1031195796
Gaskeun,evmos10y2gj5umzsmc4tl6kq5yvnvqcxqe7raqmjdy64,507578,0.6435660888
AlexZ,evmos15mdsdu0pycvxgydhm0wa66cnddmnkfrv85wsqz,327752,0.4155618894
brianvalidator,evmos1arflh3r9cm8amy3tdlhtu79ywhq7gpwd7wscg4,8322,0.010551594
phdchan,evmos1kxddjww8r8x7afmyd787ur72lmz2j5scc6zpmv,385177,0.4883719455
<AYTEN>,evmos1qur7h3d90f0mdedvs7unv3tmqfv8eq0qsktdpz,64873,0.0822534918
8COREKT,evmos17mr24xhqgtlwpj75fhc7m0ptxy8jj8jzkx5se3,65882,0.0835328187
Heroesmarvel,evmos1dgj0w8guxwm759u896tf63ymeak9997cj64qwe,232635,0.2949615567
<myvalidator>,evmos18lceh8cs7u9fkwepr7hxa632s46d3kfqux4r8s,136670,0.1732860316
oirt1999,evmos1w52nu0lkv34w3uyuj40lpvn86s6cgjvqu2jhxc,261955,0.3321368436
xsons,evmos1aqx9phal3f709czxtvxpv3jlr35gqldavfkreu,232591,0.2949057685
hengky290,evmos1alcmzmwn7a58r2ulpagzgv4n0h4sh9hmmw9hqp,134781,0.1708909389
rambit0x,evmos1e0tq6kcsukpa6fr0sgfk29xvve5zqhlf2w2a2y,444344,0.5633907107
dabbat,evmos1qkny3wtlusu7h5thegqtnf7k077xc3d0was569,32371,0.0410436974
cuanfrog,evmos1s20q9xv48yzlt76twy8kjxjtvwp5h0ajq5u4nl,561267,0.711639212
erikamin,evmos12a3h5yr9ff0a7wx9ppcv953rvg5k062cwl64cs,255466,0.3239093389
MapleSyrup,evmos1rmgckg94mz0qyy6kcuw0jcjcj5scaukvjy8mq6,130749,0.165778703
berliano,evmos18lx8rcyv9uzltpwaxcgx3ymcgjqe3f3sr4d9lz,354007,0.4488510148
konsortech,evmos1ja06n7544yc7wycf4gz0xwn0w3lt5vcu7cmjzw,568029,0.7202128576
deadsea,evmos1ywepkvmzve08f0cey8ryavn4ge6mlpjdl5uswx,590349,0.7485127349
oxrafy2,evmos1mny9hejelzc6nluysksqaveudjnl8wj76r4dee,266742,0.3382063558
ehroy,evmos1plq2y83tyw854gpdwl8xh5pxjp9pr2krwt6xww,389452,0.4937922849
yvalidator,evmos1h6pla28yrnjpa5frf9qfl889xgk2ye7ugfl0fj,7518,0.0095321898
tongki,evmos1r5l7nt5tcnx0kdjsew09r43a46cqldcdvparlj,226727,0.2874707111
semoggajjp,evmos1k267p3wwd25s6976zdfl73mr3zd555z49cqqcf,159342,0.2020322152
0xde1998,evmos188q3pdledevecrk0f8nghludf4hdc0gqztldv0,31,0.0000393053
Rocknodes,evmos124vl5sqmq79f2g3ys4lqqw2ck6y333ut3yhlxl,21296,0.0270015316
<myvalidator>,evmos1wcmjmkmdafk6dsddm4h7r5gkyeazdxg4a4w2fm,3805,0.004824419
saitamalord,evmos15t7hzwmh5w5xd4ryz94sm233k9mfc7jk8vjsat,9921,0.0125789911
rikka,evmos1v8fhqlwu7h8cpf4ng4uyscsdyc4x3h27es02x9,25268,0.0320376925
AminiVanPoint,evmos1yavqyhqp8srpqz3sfrcxszundksl2et64u9qls,81889,0.1038283445
jadiduit,evmos1h5m7gs0vp0ka2vse38qjjec78aygy2nru2awkq,18066,0.022906164
DEXCHANGE,evmos1e3dx6u7narpq6puuzaguwnumtcuyu93ltsvluy,188734,0.2392987919
point-xnet-triton,evmos1p6kjk55mh7e5w3m7zm4rekyxummp5jv9te9xvs,568770,0.7211523831
ItsLimin,evmos13av6ec3y67f803cevp06uutmn9wlepcpxwv7ee,24984,0.0316776045
pencarikh,evmos1vfzf5fn0kcy0apmzjku3863l6zenqf6w8azcg6,25095,0.0318183431
vikanren,evmos1gvwnmqz8nfm90dng5ap3p6q004qsvkgrwczvzq,74049,0.0938878858
kangrekt,evmos1lfpsx597edaeaee7m85mzzh28lpv26ftwd3r8v,78649,0.0997202978
DiElektra | MMS,evmos1p2ggylxalrxupu8pvpmgjylkqw83fux7mgesqx,194417,0.2465043565
bendzamin,evmos1c26saaaapugdxqaanr8dmenvg8yl55sgq0nuu6,446928,0.5666670047
uguryuksel2022,evmos1g3tsf9ew2ved099pwuxl5uz0feelvdlx904fjc,224213,0.2842831712
MASUKAN-NAMA-VALIDATOR,evmos15dtn6ad22pstwrkh4kp7h02wpcwhr3mprzeztk,544061,0.6898234554
ikbale,evmos1fw3j2huewdcrx2z5np9fmy4a90sl623hxhekwc,208120,0.2638786046
Raps,evmos1eegar7nhds55r4q4t68le3v9cksjz02s6qpe9r,558439,0.7080535466
<myvalidator>,evmos155sth3mlqc2u7m82c4s3lj4du5s9ka2zmwsm20,1002,0.0012704514
NOSSY,evmos1j9rz5zm89js7jkpejz5n4z8zg2syhrh8rekh7g,319341,0.4048974509
Xooxos,evmos1mhd0737k7mghzft4n8y2prrntmkvhl8d29lq7v,70395,0.089254922
Ade12,evmos17vjfrp62c6sn7a2ur6tpx2gmrgk3mrsn2ehrqj,133235,0.1689307413
nodeswizard,evmos1pvgrn7hsd353k906p5ye5cgafyg30py4rxevvf,152201,0.1929780295
Vault Staking,evmos12g28ynkz0cm075lfj7kgh3d2aad4z5q6unafgs,257901,0.3269967135
cynnn,evmos1tnvsws5vv62f6w0gjl4tgu4ph4sx4s8l8fw97h,398455,0.5052073295
NEVERMIND,evmos10duyd7kfjg4jnv7lmvhrxzyaxqnvkmam78ekwx,481586,0.6106104253
<myvalidator>,evmos1j6l2uglfsrkaycmxrnuuxcfxc4v2fy3scg2mvm,301669,0.3824908456
<myvalidator>,evmos1y4ldhps8l548z7f7mft9x4wh42asd44e7m4yzc,1625,0.0020603629
dwpoint,evmos1gv3mqp2m7ksts8g5hkgdgrjw78ujucch9kcemg,472739,0.5993931755
HyukaNode,evmos1qqdtg54rywk2pjgcm9sc80e45md3uewzpn8zf2,303021,0.3842050676
nomad,evmos1zx05tnu6xjz8l4vs0rss3phd5k3lgwqh4wslrw,502482,0.6371047906
ibrahim,evmos1kr8dsknlv29pz8sys74eukw6xcdpc9upgjk9a7,155348,0.1969681601
khuntul,evmos1jexxcafkrureznyjnjzld4ls66ahjakstxuguu,339981,0.4310672299
𝙉𝙤𝙙𝙚𝙨𝘽𝙡𝙤𝙘𝙠𝙨 ⚛,evmos1wpvjh7qr8f9nxzugcjtrka8q4wvaxvn02evztn,6238,0.0079092578
Wilzeelbub,evmos16rxvq2k7na5wptty4xscyyp09qhtq5z6aynhuz,452507,0.5737407061
Looser,evmos17y0cynu3m3jaxerf0menlnk0l0drd3rrrphjdu,374279,0.4745542008
SpadeNode,evmos17cfwqx3zqtw6mamka3ypn6l0rlyjwf6psuz08y,5609,0.0071117388
tsuee,evmos1hzyv3kxcesr9a5apfq0p7lp0umekwrfs8gqg3f,264891,0.3358594439
0xde12.eth,evmos1ljyhzsn5f0g60hkyr77a80f70ak43acl8wgl80,264097,0.3348527189
Zexiz ID,evmos1l88h4lp0hwqfr67rend3wtr9lsd53xhuq758g6,271441,0.3441642914
Node Warrior,evmos1lshu0nmugc2r3fhagm309la2x7hkvyap4td7zt,42144,0.053435037
<myvalidator>,evmos145q2ak9ys90ap3q65w2ta6dufa4mk8pxsa5val,116456,0.1476563847
point-xnet-triton,evmos1el5eunddmnev85rxdeaj8laqwe435nyy4gn08p,236860,0.3003185004
peace,evmos1heq95xj794cwvdg43zphmjknlmamxhv2ylqhwd,44778,0.0567747268
dantecrz,evmos1pzx5qzng6rtdwzlz7v92f4ptd0fhfqjvu52rmn,17459,0.0221365393
sweetapple,evmos1ntf7jrd68dkgg735edwwuzdaj0mpgzav5meye6,37501,0.0475481047
nemesis,evmos1t9qhjdp6awr2le3j34dcav282kv4p8rmvrkmmu,573457,0.7270951038
bimo,evmos1ue04yw4hpuhyw0m8s7zsa4qvheusqgqh6jjpcz,448282,0.5683837625
bangjago,evmos14uzy6km0gkdtakh3cpvuvjr979yxwvhuc5qavq,197444,0.2503423372
celenganaing,evmos1l235weqrqz2g58uyql2z0jykj4sakpr0rj9e6f,163976,0.2079077363
zulna,evmos152efm9rsrqvqew4kgduac9l8j9zu9w59r0akv2,91401,0.1158887581
wallet,evmos1scpnsm8840jzkuh4lnjxkrf6k3v94tkwh44jwt,50748,0.0643441833
Arsyanendragalih,evmos1yfwrvyrd9tp77c2el05nqrxcegyj7d4mh3deuu,102445,0.1298916185
ameras,evmos15h92e0n3p0qeydsy6465h5uq5la3l5ysrjry23,101958,0.1292741436
CrackeD,evmos1v04l24s249u9fyr6pre2625kfwa783ngpcpdk9,36,0.0000456449
gilangmr,evmos1futwwapv0tdzm739dzj7qf9dx6jvef4nuj9qy9,3227,0.0040915637
cosmic,evmos1c5k3s9vcac5gusn2zwgqx6cpsy6hhd3grpytmg,3430,0.0043489506
pinrockets,evmos1ug2kt9pxkxvlyrzd9gcdcmdludfxpmv8u5e88z,434853,0.5513569233
Agung_Ganteng,evmos18xzmq8rm5a3wryeflygq6kncpda8v9xtfc7nss,402826,0.5107493888
HANDOKO,evmos1rsak5ma0gunvxd06jf8zt3pxf0vxgvauwgd4xc,90,0.0001141124
panjenengan,evmos1e04g3f43z075ast3nvptmzq2raacsz5l8tlcst,533498,0.6764304624
jambulmerah | POINT,evmos12hwfc63s4q6r6crukr7z2nslvvgznatuzkfk5d,12359,0.0156701694
Michramsey,evmos1rmhy6emhkrmr53mrye7y42ggc3h2xn6pktamrf,538043,0.682193139
Indonode.dev,evmos15s5wmuhh77fsnfrulz4s9g3pd7wfsp2mdsqf0e,488399,0.6192487346
mbethik,evmos1ggnkr2j2wwdcuatkyu9fy66jwelas3ralkszy6,435082,0.551647276
NAKAL,evmos1qnpt8y9vnldkxt9leaw3kw2zk79yuujc7za99x,5507,0.0069824114
dendyro,evmos1sylfdzeeerjuuutazt8exccem205mkgytskyf9,504448,0.6395975128
ustad,evmos1rh0kyjljr4wjp20uyukk27dzuyns3ugjexre0y,66239,0.0839854646
siuppi,evmos1jdaktdm3asycfu33rcr892tmwug246t36tf3cx,255637,0.3241261525
Ligah,evmos1nmy3fwtj4up5z3jplpnr3jv39yug2s6tt9d2x6,400589,0.5079130615
string=Avengers,evmos1ul2eevlyx47nyza50mcm5xr302qce9r9psy0d2,72878,0.0924031566
jargoalv,evmos19x830j7mjd7hljkvfl4kn3ks0q952y9dj4s5f3,194360,0.2464320853
MASUKAN-NAMA-VALIDATOR,evmos1m8rr64ffx4xqgvq2vct3p52jhn9f9c58hknwd0,172670,0.2189309949
IlhamV7,evmos1xt8wzhtmwle9kt23dxff0k55m6pg4efhkw5eph,54132,0.0686348098
0xBuntus,evmos1ff0u5gqsmvfqs6jwy958yct9kzwn29xtdfnjax,570,0.0007227119
rama,evmos1kja476ny8vjcp782cqqhaczvyjgld7xgd609rt,250993,0.3182379522
MPS,evmos134u46hyauc7tqz8u6jq964kdpl05lpjazhtxeg,153771,0.1949686571
akagami,evmos1glp4qjfjk9nen443fzxuxf4j2d98u7cz47kwtc,4935,0.0062571637
aprame,evmos1v2zkplddsycf0md9uy963vw70m3t7c3f2s3lqy,129216,0.1638349883
alinustorvalt,evmos1fqkpccyupwg9mhtrlvladhpmqt5v88jgk6r0sr,492991,0.6250710032
MASUKAN-NAMA-VALIDATOR,evmos19e0ed37vzc64v9mm8lc48xw4k48dk4w35m2e4n,389687,0.4940902451
megumii💜,evmos14lsschfvurjhzsc732suwnrf5s8c70w729kg5l,408372,0.517781249
Invalid,evmos1pxj8suwchn94sy3cjyulug4nhuxjegak5zpz5n,348487,0.4418521204
Fajrrmdhn,evmos17p2jek9y6ntxq3c03ntzqdxzxkcrp43wm2jdyc,54960,0.069684644
Deznuts,evmos169hzpczr9gvk8fh6umgh2ndkxwd3qvtnz3t3vm,364164,0.461729234
<myvalidator>,evmos16d6du29w6zjq4qsg4uvg284amndr5ucdwz68x8,14084,0.0178573239
andixmb,evmos1uqmqladv8cazw6t04crjc9q2rpl5rsevxew7zf,138416,0.1754998123
agung,evmos12a3cljplcxvqxsy24xfvxjtq5pr9hl9909ymer,75682,0.095958392
LoadedMonk,evmos1xq494wfzafhra0xz34yt9macy740k9d49u37jn,540419,0.6852057066
jambulmerah | POINT,evmos1uy00mu6t4grmf2emcnrt798ads82429u4za0lq,341342,0.4327928631
Broker_node,evmos1gj369qs2c3xnjthdkq275t6sujwh8fwg7hl0g2,184176,0.2335196324
iklil,evmos1ns69u5k02rq8rymy8kvr5pzxy28f8nndh8mak7,296934,0.376487265
MASUKAN-NAMA-VALIDATOR,evmos1zfz2t5z6tt24yyvxa078svqg6hlv8lhac9d5d9,120003,0.1521536815
istiqomah,evmos10vl2809thzmrsjtrtd4ye3gfnjeuj3z9lnn9zn,387121,0.4908367736
irondude,evmos1p20hvl2xfr2fyueuhsmqfthgxsl2yphhppdcp0,391182,0.495985779
8corekt,evmos1myxvvl02jgnkklnp22ymeuppmnq95rg4g0f7c5,77402,0.0981392069
blackswan1010,evmos18jnvffve9l2zyrlvd9ffemd4zm3yqxrhr3k4c0,515641,0.6537892927
androidmod179,evmos1k6g2gq2m00tvxjd7r22c0qvduac6dag75qp4z7,62082,0.0787147392
Azxx,evmos1vl23phmvumgqexnup4qc38766hqkchzex9pkqh,4925,0.0062444845
mephisto,evmos1qav2lxszec42442qj0wgqhp0n5k9tfenwx9dwn,1741,0.0022074411
meddunyaya,evmos1kze8tcmr6va0qjc7fuaarwyjg3ax65chmml2r3,22429,0.02843808
Dake,evmos1nh2etm0yq3tyv5pf0jwytzqcaf5caq6a4fuhhp,437688,0.5549514641
Mcdao,evmos1wfhutf7k5ystvnn5r85ra82kj22p5g0mp3palh,281796,0.3572935579
ZAKIAOPA,evmos1jmsrm922tp07097pklrx9q7wuwh3kpz74k2q4z,376077,0.4768339131
Beagle2,evmos1tkzmuwcj2slcwmfsu62pdg9yr4ghmrucva7vfq,600594,0.7615025307
jek_ael,evmos1kwjg990wz65p5cmnkps5hzta4g8rnedlasfp69,38,0.0000481807
alfonova,evmos1wtd5rzsrjhpuazy62t4e4l0f8rqslqwwyefuu6,597024,0.7569760718
wewe007,evmos12a2szp9s9rlt9c0vuycumwl00dvjzcqckj992t,235220,0.2982391187
